featureSelection,preprocesamiento,0,1,2,3,4,5,6,7,8,9
kbest_chi2,no,d22,s20,s5,s6,s22,s7,s30,xor+,xor,eucl
kbest_chi2,standard,s21,s5,s30,s6,s7,d22,s22,s20,s15,s26
kbest_chi2,minMax,s22,s5,s30,s6,s7,d22,s20,s21,s15,s31
kbest_chi2,robust,d22,s30,s22,s21,s20,s7,s6,s5,norm_dst,s15
kbest_chi2,norm_l1,d22,s30,s22,s7,s6,s5,s20,eucl_dec,hamm,eucl
kbest_chi2,norm_l2,d22,s30,s22,s7,s6,s5,s20,eucl_dec,hamm,eucl
kbest_fclass,no,s22,d22,s5,s6,s7,s20,s30,s21,s15,s17
kbest_fclass,standard,s22,d22,s5,s6,s7,s20,s30,s21,s15,s17
kbest_fclass,minMax,s22,d22,s5,s6,s7,s20,s30,s21,s15,s17
kbest_fclass,robust,s22,d22,s5,s6,s7,s20,s30,s21,s15,s17
kbest_fclass,norm_l1,s7,s30,s22,d22,s20,s5,s6,s29,s18,eucl
kbest_fclass,norm_l2,s7,s30,s22,d22,s20,s5,s6,s29,s18,eucl
extraTrees,no,s28,s15,s17,s23,s26,d11,s9,norm_src,s31,s12
extraTrees,standard,s28,s15,s17,s23,s26,norm_src,d11,s9,d28,s31
extraTrees,minMax,s28,s15,s17,s23,s26,norm_src,d11,s9,d28,s31
extraTrees,robust,s28,s15,s17,s23,s26,d11,s9,norm_src,s31,d28
extraTrees,norm_l1,xor+,hamm,eucl,xor,s25,eucl_dec,d7,d25,s1,d5
extraTrees,norm_l2,hamm,xor+,eucl,xor,eucl_dec,s25,d7,d5,d19,d13
randomForest,no,norm_src,s23,s15,s31,s17,s28,arit,eucl_dec,s13,d11
randomForest,standard,norm_src,s23,s15,s31,s17,s28,eucl_dec,arit,s13,d11
randomForest,minMax,norm_src,s23,s15,s31,s17,s28,eucl_dec,arit,s13,d11
randomForest,robust,norm_src,s23,s15,s17,s31,s28,arit,eucl_dec,d11,s10
randomForest,norm_l1,eucl,hamm,xor,xor+,d19,norm_dst,norm_src,s25,d25,d12
randomForest,norm_l2,hamm,eucl,xor+,xor,d19,norm_dst,norm_src,s25,d25,d21
