method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.7982,0.245,0.8316,0.3784,0.3784,0.8136
kmeans,kbest_fclass,0.7982,0.245,0.8316,0.3784,0.3784,0.8136
kmeans,extraTrees,0.7736,0.2338,0.907,0.3718,0.3875,0.8349
kmeans,randomForest,0.7982,0.245,0.8316,0.3784,0.3784,0.8136
minibatch,kbest_chi2,0.7981,0.2449,0.8316,0.3784,0.3784,0.8135
minibatch,kbest_fclass,0.7981,0.2449,0.8316,0.3784,0.3784,0.8135
minibatch,extraTrees,0.7736,0.2338,0.907,0.3718,0.3875,0.8349
minibatch,randomForest,0.7981,0.2449,0.8316,0.3784,0.3784,0.8135
birch,kbest_chi2,0.9261,0.0,0.0,0.0,0.0,0.5
birch,kbest_fclass,0.9261,0.0,0.0,0.0,0.0,0.5
birch,extraTrees,0.8905,0.23,0.205,0.2168,0.1585,0.5751
birch,randomForest,0.9261,0.0,0.0,0.0,0.0,0.5
mincovdet,kbest_chi2,0.8643,0.3486,0.9634,0.512,0.532,0.9099
mincovdet,kbest_fclass,0.8643,0.3486,0.9634,0.512,0.532,0.9099
mincovdet,extraTrees,0.7917,0.2387,0.8306,0.3708,0.3706,0.8096
mincovdet,randomForest,0.8442,0.2982,0.8191,0.4373,0.4328,0.8327
isolation,kbest_chi2,0.8553,0.317,0.8305,0.4589,0.4554,0.8439
isolation,kbest_fclass,0.862,0.3395,0.9185,0.4958,0.5075,0.888
isolation,extraTrees,0.843,0.2954,0.8119,0.4332,0.4275,0.8287
isolation,randomForest,0.8641,0.3483,0.9633,0.5116,0.5316,0.9097
