method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.5168,0.1315,0.988,0.2321,0.24600000000000002,0.7336
kmeans,kbest_fclass,0.5139,0.1308,0.988,0.231,0.2445,0.7321
kmeans,extraTrees,0.5631,0.1433,0.9872,0.2503,0.2703,0.7583
kmeans,randomForest,0.5168,0.1315,0.988,0.2321,0.24600000000000002,0.7336
minibatch,kbest_chi2,0.5168,0.1315,0.988,0.2321,0.24600000000000002,0.7336
minibatch,kbest_fclass,0.5139,0.1308,0.988,0.231,0.2445,0.7321
minibatch,extraTrees,0.561,0.1428,0.9872,0.2494,0.2691,0.7571
minibatch,randomForest,0.5168,0.1315,0.988,0.2321,0.24600000000000002,0.7336
birch,kbest_chi2,,,,,,
birch,kbest_fclass,,,,,,
birch,extraTrees,0.5615,0.1429,0.9872,0.2496,0.2694,0.7574
birch,randomForest,,,,,,
mincovdet,kbest_chi2,0.7265,0.0008,0.0023,0.0012,-0.1396,0.3933
mincovdet,kbest_fclass,0.7265,0.0008,0.0023,0.0012,-0.1396,0.3933
mincovdet,extraTrees,0.7384,0.0369,0.1011,0.054000000000000006,-0.0713,0.4452
mincovdet,randomForest,0.7265,0.0008,0.0023,0.0012,-0.1396,0.3933
isolation,kbest_chi2,0.7311,0.0122,0.033,0.0178,-0.1178,0.4099
isolation,kbest_fclass,0.7309,0.0118,0.0318,0.0172,-0.1187,0.4093
isolation,extraTrees,0.7333,0.012,0.0322,0.0175,-0.1173,0.4107
isolation,randomForest,0.7311,0.0115,0.0309,0.0167,-0.1192,0.409
