method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.9274,0.8401,0.0222,0.0433,0.1296,0.5109
kmeans,kbest_fclass,0.5205,0.1323,0.9873,0.2333,0.2475,0.7353
kmeans,extraTrees,0.5603,0.0049,0.0245,0.0082,-0.2019,0.3137
kmeans,randomForest,0.5171,0.1315,0.9875,0.2321,0.2459,0.7335
minibatch,kbest_chi2,0.6987,0.1727,0.8124,0.2849,0.2757,0.751
minibatch,kbest_fclass,0.5198,0.1321,0.9873,0.233,0.2471,0.7349
minibatch,extraTrees,0.7422,0.2145,0.9353,0.349,0.3706,0.831
minibatch,randomForest,0.5171,0.1315,0.9875,0.2321,0.2459,0.7335
birch,kbest_chi2,0.9274,0.837,0.0222,0.0433,0.1293,0.5109
birch,kbest_fclass,0.5139,0.1308,0.988,0.231,0.2445,0.7321
birch,extraTrees,0.8496,0.3159,0.8886,0.4662,0.4739,0.8676
birch,randomForest,0.9244,0.0043,0.0001,0.0002,-0.011,0.4991
mincovdet,kbest_chi2,0.8586,0.331,0.8951,0.4833,0.4911,0.8754
mincovdet,kbest_fclass,0.7231,0.0034,0.0094,0.005,-0.1366,0.3947
mincovdet,extraTrees,0.7301,0.0112,0.0303,0.0163,-0.1201,0.4081
mincovdet,randomForest,0.741,0.0355,0.0956,0.0517,-0.0733,0.444
isolation,kbest_chi2,0.7356,0.0238,0.0644,0.0348,-0.0957,0.4268
isolation,kbest_fclass,0.732,0.0119,0.0321,0.0174,-0.118,0.41
isolation,extraTrees,0.7281,0.0039,0.0104,0.0056,-0.1337,0.3979
isolation,randomForest,0.7307,0.0115,0.0311,0.0168,-0.1192,0.4088
