method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.8146,0.5214,1.0,0.6854,0.6327,0.8838
kmeans,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
kmeans,extraTrees,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
kmeans,randomForest,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
minibatch,kbest_chi2,0.8146,0.5214,1.0,0.6854,0.6327,0.8838
minibatch,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
minibatch,extraTrees,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
minibatch,randomForest,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
birch,kbest_chi2,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
birch,kbest_fclass,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
birch,extraTrees,0.7919,0.0,0.0,0.0,-0.0393,0.4962
birch,randomForest,0.796,0.0,0.0,0.0,-0.0223,0.4988
mincovdet,kbest_chi2,0.798,0.0,0.0,0.0,0.0,0.5
mincovdet,kbest_fclass,0.798,0.0,0.0,0.0,0.0,0.5
mincovdet,extraTrees,0.8085,0.5134,1.0,0.6785,0.6247,0.88
mincovdet,randomForest,0.7964,0.498,1.0,0.6649,0.6091,0.8724
isolation,kbest_chi2,0.8105,0.516,1.0,0.6807,0.6272,0.8813
isolation,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
isolation,extraTrees,0.8085,0.5134,1.0,0.6785,0.6247,0.88
isolation,randomForest,0.5466,0.1542,0.2774,0.1982,-0.09,0.4461
