method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.7947,0.0,0.0,0.0,-0.0288,0.4979
kmeans,kbest_fclass,0.8133,0.5196,1.0,0.6839,0.6309,0.883
kmeans,extraTrees,0.7933,0.0,0.0,0.0,-0.0345,0.4971
kmeans,randomForest,0.7933,0.0,0.0,0.0,-0.0345,0.4971
minibatch,kbest_chi2,0.8133,0.5197,1.0,0.6839,0.6309,0.883
minibatch,kbest_fclass,0.8133,0.5196,1.0,0.6839,0.6309,0.883
minibatch,extraTrees,0.7933,0.0,0.0,0.0,-0.0345,0.4971
minibatch,randomForest,0.7933,0.0,0.0,0.0,-0.0345,0.4971
birch,kbest_chi2,0.798,0.0,0.0,0.0,0.0,0.5
birch,kbest_fclass,0.798,0.0,0.0,0.0,0.0,0.5
birch,extraTrees,0.7933,0.0,0.0,0.0,-0.0345,0.4971
birch,randomForest,0.7933,0.0,0.0,0.0,-0.0345,0.4971
mincovdet,kbest_chi2,0.7962,0.4977,1.0,0.6647,0.6088,0.8723
mincovdet,kbest_fclass,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
mincovdet,extraTrees,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
mincovdet,randomForest,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
isolation,kbest_chi2,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
isolation,kbest_fclass,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
isolation,extraTrees,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
isolation,randomForest,0.8086,0.5135,1.0,0.6785,0.6247,0.8801
