method,featureSelection,accuracy,precision,recall,f1_score,mathews_corr,AUC
kmeans,kbest_chi2,0.7931,0.0,0.0,0.0,-0.0352,0.497
kmeans,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
kmeans,extraTrees,0.811,0.5166,1.0,0.6813,0.6279,0.8816
kmeans,randomForest,0.1875,0.0,0.0,0.0,-0.6299,0.1175
minibatch,kbest_chi2,0.6342,0.0,0.0,0.0,-0.2227,0.3974
minibatch,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
minibatch,extraTrees,0.811,0.5166,1.0,0.6813,0.6279,0.8816
minibatch,randomForest,0.1875,0.0,0.0,0.0,-0.6299,0.1175
birch,kbest_chi2,,,,,,
birch,kbest_fclass,0.9731,0.8824,1.0,0.9375,0.9234,0.9831
birch,extraTrees,0.7919,0.0,0.0,0.0,-0.0393,0.4962
birch,randomForest,0.7955,0.0,0.0,0.0,-0.0252,0.4984
mincovdet,kbest_chi2,0.6698,0.3236,0.5822,0.416,0.2288,0.6371
mincovdet,kbest_fclass,0.798,0.0,0.0,0.0,0.0,0.5
mincovdet,extraTrees,0.8085,0.5134,1.0,0.6785,0.6247,0.88
mincovdet,randomForest,0.8023,0.5054,1.0,0.6715,0.6166,0.8761
isolation,kbest_chi2,0.6707,0.3284,0.6033,0.4253,0.2419,0.6455
isolation,kbest_fclass,0.9711,0.8749,1.0,0.9333,0.9183,0.9819
isolation,extraTrees,0.8085,0.5134,1.0,0.6785,0.6247,0.88
isolation,randomForest,0.5466,0.1542,0.2774,0.1982,-0.09,0.4461
